0, 0.000003
20, 0.000066
40, 0.000458
60, 0.001515
80, 0.003479
100, 0.007598
120, 0.010998
140, 0.008459
160, 0.007230
180, 0.008497
200, 0.011442
220, 0.015189
240, 0.020483
260, 0.030100
280, 0.033776
300, 0.039529
320, 0.052611
340, 0.057966
360, 0.068104
380, 0.081057
400, 0.092910
420, 0.111049
440, 0.124657
460, 0.144500
480, 0.165202
500, 0.187091
520, 0.207237
540, 0.236387
560, 0.258432
580, 0.302869
600, 0.323845
620, 0.372244
640, 0.561560
660, 0.459339
680, 0.506520
700, 0.582043
720, 0.594539
740, 0.731246
760, 0.768053
780, 0.863887
800, 0.949324
