0, 0.000005
20, 0.000159
40, 0.000676
60, 0.001633
80, 0.003280
100, 0.007492
120, 0.008664
140, 0.006871
160, 0.006199
180, 0.007199
200, 0.009603
220, 0.012914
240, 0.016727
260, 0.027694
280, 0.032137
300, 0.036664
320, 0.056216
340, 0.054955
360, 0.063605
380, 0.076380
400, 0.086951
420, 0.105880
440, 0.122586
460, 0.138599
480, 0.194774
500, 0.191387
520, 0.222152
540, 0.264015
560, 0.307547
580, 0.339053
600, 0.386569
620, 0.442312
640, 0.555950
660, 0.549578
680, 0.591572
700, 0.663820
720, 0.709550
740, 0.816250
760, 0.873225
780, 0.999093
800, 1.011826
