0, 0.000003
20, 0.000059
40, 0.000436
60, 0.001467
80, 0.003427
100, 0.007482
120, 0.009183
140, 0.007328
160, 0.007044
180, 0.008410
200, 0.011392
220, 0.015316
240, 0.020089
260, 0.030066
280, 0.033880
300, 0.039540
320, 0.050545
340, 0.058112
360, 0.068318
380, 0.081155
400, 0.093037
420, 0.111240
440, 0.124514
460, 0.144255
480, 0.175854
500, 0.187086
520, 0.206994
540, 0.236089
560, 0.259133
580, 0.305532
600, 0.323525
620, 0.365637
640, 0.552155
660, 0.454046
680, 0.491227
700, 0.576191
720, 0.601002
740, 0.696031
760, 0.718893
780, 0.826712
800, 0.943229
