0, 0.000003
20, 0.000239
40, 0.001755
60, 0.005845
80, 0.006806
100, 0.005531
120, 0.010311
140, 0.014991
160, 0.022369
180, 0.031882
200, 0.043488
220, 0.058741
240, 0.075242
260, 0.097616
280, 0.121861
300, 0.153461
320, 0.199726
340, 0.226393
360, 0.265729
380, 0.319688
400, 0.367347
420, 0.442735
440, 0.503029
460, 0.586195
480, 0.693378
500, 0.762821
520, 0.856074
540, 0.997994
560, 1.123407
580, 1.518273
600, 1.703594
620, 1.874436
640, 2.098745
660, 1.966108
680, 2.157318
700, 2.417047
720, 2.430650
740, 2.987895
760, 3.156955
780, 3.273222
800, 3.421075
