0, 0.000003
20, 0.000077
40, 0.000386
60, 0.001287
80, 0.002561
100, 0.005832
120, 0.009271
140, 0.007713
160, 0.006264
180, 0.006545
200, 0.008493
220, 0.011338
240, 0.014907
260, 0.024151
280, 0.033758
300, 0.036977
320, 0.057224
340, 0.055039
360, 0.063757
380, 0.076465
400, 0.087247
420, 0.109149
440, 0.129293
460, 0.140703
480, 0.205867
500, 0.201184
520, 0.233011
540, 0.280861
560, 0.315151
580, 0.352685
600, 0.392855
620, 0.445912
640, 0.551507
660, 0.532460
680, 0.580195
700, 0.733138
720, 0.719606
740, 0.846338
760, 0.955774
780, 0.995021
800, 1.007511
